,School ID,School Name,Administrative Body,Department Name,Municipality Name,Canton Name,Hamlet Name,Address,Who provided the data?
3802,60090.0,CENTRO ESCOLAR CASERIO LOS HERNANDEZ CANTON EL ROSARIO,CDE,AHUACHAPAN,TACUBA,EL ROSARIO,LOS HERNÍNDEZ ,"CASERIO LOS HERNANDEZ, CANTON EL ROSARIO",Director(a)
3803,60091.0,CENTRO ESCOLAR CASERIO LAS PALMERAS CANTON SAN JUAN,CDE,AHUACHAPAN,TACUBA,SAN JUAN,LAS PALMERAS,"CASERIO LAS PALMERAS, CANTON SAN JUAN",Director(a)
3804,60092.0,CENTRO ESCOLAR CANTON SAN JUAN,CDE,AHUACHAPAN,TACUBA,SAN JUAN,,"CALLE PRINCIPAL QUE CONDUCE AL RIO PAZ,A 10 KM DE TACUBA",Director(a)
3805,60093.0,CENTRO ESCOLAR CANTON SAN RAFAEL,CDE,AHUACHAPAN,TACUBA,SAN RAFAEL ,LOMA VERDE ,"CASERIO LOMA VERDE, CANTON SAN RAFAEL",Director(a)
3806,60094.0,"CENTRO ESCOLAR CASERIO EL NARANJITO, CANTON EL SINCUYO",CDE,AHUACHAPAN,TACUBA,EL SINCUYO,EL NARANJITO ,CASERIO EL NARANJITO CANTON EL SINCUYO.  ,Director(a)
3807,60095.0,CENTRO ESCOLAR CASERIO LOS ORANTES CANTON EL SINCUYO,CDE,AHUACHAPAN,TACUBA,EL SINCUYO,LOS ORANTES,"CASERIO LOS ORANTES, CANTON EL SINCUYO",Director(a)
3808,60096.0,COMPLEJO EDUCATIVO CANTON EL SINCUYO,CDE,AHUACHAPAN,TACUBA,EL SINCUY0,,CALLE LA COSTA KM 4 AL SUR DE LA CIUDAD DE TACUBA ,Director(a)
3809,60097.0,"CENTRO ESCOLAR CASERIO LA ANGOSTURA, CANTON EL CHAGUITE",CDE,AHUACHAPAN,TACUBA,CHAGÍœITE,ANGOSTURA,CASERIO LA ANGOSTURA CANTON EL CHAGUITE,Director(a)
3810,60098.0,CENTRO ESCOLAR CASERIO LOMAS DE SAN ANTONIO CANTON EL CHAGUITE,CDE,AHUACHAPAN,TACUBA,EL CUAGÍœITE ,LOMAS DE SAN ANTONIO,"CASERIO LOMAS DE SAN ANTONIO, CANTON EL CUAGUITE  ",Director(a)
3811,60099.0,CENTRO ESCOLAR CANTON EL CHAGUITE,CDE,AHUACHAPAN,TACUBA,EL CHAGUITE,CENTRO,CASERIO CENTRO CANTON EL CHAGUITE,Director(a)
3812,60100.0,CENTRO ESCOLAR CANTON LA MONTAÑA,CDE,AHUACHAPAN,TACUBA,LA MONTAÑA,,CANTON LA MONTAÑA,Director(a)
3813,60102.0,CENTRO ESCOLAR CASERIO HACIENDA EL MILAGRO CANTON MONTE HERMOSO ABAJO,CDE,AHUACHAPAN,TACUBA,MONTE HERMOSO,HACIENDA EL MILAGRO,CASERIO HACIENDA EL MILAGRO CANTON MONTE HERMOSO ABAJO,Director(a)
3814,60103.0,CENTRO ESCOLAR CANTON MONTE HERMOSO ABAJO,CDE,AHUACHAPAN,TACUBA,MONTE HERMOSO ABAJO,,CANTON MONTE HERMOSO ABAJO,Director(a)
3815,60104.0,COMPLEJO EDUCATIVO CANTÓN AGUA FRÍA,CDE,AHUACHAPAN,TACUBA,AGUA FRIA,,"9 KM AL NORTE DEL CASERIO PUENTE ARCE, FRONTERA LA HACHADURA",Director(a)
3816,60105.0,CENTRO ESCOLAR CASERIO LOS ORELLANA,CDE,SAN MIGUEL,CIUDAD BARRIOS,SAN MATIAS,LOS ORELLANA,CASERIO LOS ORELLANA CANTON SAN MATIAS,Director(a)
3817,60106.0,"CENTRO ESCOLAR CASERIO EL CARMEN, CANTON EL JOBO",CDE,AHUACHAPAN,TURÍN,EL JOBO,EL CARMEN,CASERIO EL CARMEN CANTON EL JOBO,Director(a)
3818,60107.0,CENTRO ESCOLAR CANTON GUACHIPILIN,CDE,AHUACHAPAN,SAN PEDRO PUXTLA,GUACHIPILÍN,,"CALLE HACIA APANECA, DESVIO LAS TRES CEIBAS, CANTON GUACHIPILIN.",Director(a)
3819,60108.0,CENTRO ESCOLAR CANTON EL CHAYAL,CDE,AHUACHAPAN,ATIQUIZAYA,EL CHAYAL,,"CANTON EL CHAYAL 2 KM AL NORTE DE CASETA 
",Director(a)
3820,60109.0,CENTRO ESCOLAR CASERIO OJOS DE AGUA CANTON AGUA ZARCA,CDE,MORAZAN,TOROLA,AGUA ZARCA ,OJOS DE AGUA ,CASERIO OJOS DE AGUA CANTON AGUA ZARCA,Director(a)
3821,60110.0,CENTRO ESCOLAR CASERIO VOLCANCILLO CANTON VOLCANCILLO,CDE,MORAZAN,JOCOAITIQUE,VOLCANCILLO,VOLCANCILLO,CANTON VOLCANCILLO,Director(a)
3822,60111.0,CENTRO ESCOLAR CASERIO LA PLANTA CANTON EL RODEO,CDE,MORAZAN,JOCOAITIQUE,EL RODEO,LA PLANTA,"CARRETERA HACIA PERQUIN SOBRE EL KM OCHENTA Y NUEVE, CINCUENTA METROS AL ORIENTE ",Director(a)
3823,60112.0,CENTRO ESCOLAR CASERIO EL CAMPO CANTON JUNQUILLO,CDE,MORAZAN,CACAOPERA,JUNQUILLO,EL CAMPO, A 6 KM DE CACAOPERA SOBRE LA CARRETERA QUE CONDUCE HACIA JOATECA,Director(a)
3824,60113.0,CENTRO ESCOLAR CASERIO GUACHIPILIN CENTRO CANTON GUACHIPILIN,CDE,MORAZAN,CACAOPERA,GUACHIPILIN,GUACHIPILIN CENTRO,"CASERIO GUACHIPILIN, CENTRO CANTON GUACHIPILIN",Director(a)
3825,60114.0,CENTRO ESCOLAR CASERIO SAN MIGUELITO CANTON GUACHIPILIN ,CDE,MORAZAN,CACAOPERA,GUACHIPILIN,SAN MIGUELITO ,"CASERIO SAN MIGUELITO, CANTON GUACHIPILIN ",Director(a)
3826,60115.0,CENTRO ESCOLAR CASERIO EL SALAMO CANTON CALAVERA,CDE,MORAZAN,CACAOPERA,CALAVERA,EL SALAMO,"CASERIO EL SALAMO, CANTON CALAVERA",Director(a)
3827,60116.0,"CENTRO ESCOLAR CASERIO EL PROGRESO, CANTON SAN ALFONSO",CDE,LA LIBERTAD,TAMANIQUE,SAN ALFONSO,EL PROGRESO,KM 42  1/2   CARRETERA EL LITORALADESVIO EL TUNCO CASERIO EL PROGRESO,Director(a)
3828,60117.0,CENTRO ESCOLAR COLONIA BENDICION DE DIOS CANTON COFRADIA NUEVA,CDE,LA UNIÓN,YAYANTIQUE,COFRADIA NUEVA,,COLONIA BENDICION DE DIOS CANTON COFRADIA NUEVA YAYANTIQUE LA UNION,Director(a)
3829,60118.0,CENTRO ESCOLAR CASERIO LOS LAURELES CANTON ZAPOTITAN,CDE,LA LIBERTAD,CIUDAD ARCE,ZAPOTITAN,LOS LAURELES,"CASERIO LOS LAURELES, CANTON ZAPOTITAN, CARRETERA PANAMERICANA KILOMETRO 39 ENTRADA TERMOS DEL RIO",Director(a)
3830,60120.0,CENTRO ESCOLAR CANTON CUJUAPA,CDE,CUSCATLÁN,COJUTEPEQUE,CUJUAPA,,CALLE AL LAGO DE ILOPANGO CANTON CUJUAPA,Director(a)
3831,60121.0,CENTRO ESCOLAR CASERIO NUEVO CONSUMIDERO,CDE,LA LIBERTAD,SAN JUAN OPICO,CHANMICO,NUEVO CONSUMIDERO,CARRETERA A QUEZALTEPEQUE KM 34 FRENTE A VILLA TZUCHI,Director(a)
3832,60122.0,CENTRO ESCOLAR CANTON SANTA LUCIA,CDE,LA LIBERTAD,CIUDAD ARCE,SANTA LUCIA,PEQUEÑA INGLATERRA,KM. 38 CARRETERA ANTIGUA A CIUDAD  ARCE CANTON SANTA LUCIA,Director(a)
3833,60123.0,CENTRO ESCOLAR CANTON EL TRANSITO,CDE,LA LIBERTAD,TALNIQUE,EL TRANSITO,,"LOTIFICACION LOS SITIOS, CANTON SAN JOSE LOS SITIOS",Director(a)
3834,60125.0,CENTRO ESCOLAR CASERIO COLONIA EL BOSQUE CANTON SANTA LUCIA,CDE,LA LIBERTAD,CIUDAD ARCE,SANTA LUCIA,,CARRETERA ANTIGUA A SANTA ANA COLONIA EL BOSQUE LOTE NUMERO 33,Director(a)
3835,60126.0,CENTRO ESCOLAR CASERIO LAS TABLAS CANTON EL MOJON,CDE,LA LIBERTAD,TEPECOYO,EL MOJON,LAS TABLAS,"CASERIO LAS TABLAS, CANTON EL MOJON",Director(a)
3836,60127.0,CENTRO ESCOLAR CASERIO VILLA LA ESPERANZA,CDE,LA LIBERTAD,SAN JUAN OPICO,CHANMICO,VILLA LA ESPERANZA,KM 34 CARRETERA A QUEZALTEPEQUE ,Director(a)
3837,60128.0,CENTRO ESCOLAR CASERIO LA MONTAÑITA CANTON EL TUNEL,CDE,CHALATENANGO,LA PALMA,EL TUNEL,LA MONTAÑA,CASERIO LA MONTAÑITA 3KM 1/2 DEL CENTRO ESCOLAR CANTON EL TUNEL,Director(a)
