,Dropout rate
690,0.056818181818181816
691,0.06720430107526881
692,0.01744186046511628
693,0.0
694,0.03278688524590164
695,0.0625
696,0.10416666666666667
697,0.058823529411764705
698,0.0
699,0.07142857142857142
700,0.08938053097345133
701,0.0
702,0.07476635514018691
703,0.1111111111111111
704,0.00625
705,0.09278350515463918
706,0.0
707,0.06363636363636363
708,0.6
709,0.039660056657223795
710,0.040865384615384616
711,0.0
712,0.040892193308550186
713,0.06415094339622641
714,0.01696969696969697
715,0.006006006006006006
716,0.03816793893129771
717,0.022222222222222223
718,0.0
719,0.07947019867549669
720,0.04926108374384237
721,0.02702702702702703
722,0.125
723,0.058823529411764705
724,0.25
725,0.08527131782945736
726,0.0945054945054945
727,0.01098901098901099
728,0.045454545454545456
729,0.025974025974025976
730,0.06793478260869565
731,0.1810344827586207
732,0.10727969348659004
733,0.07692307692307693
734,0.0
735,0.10256410256410256
736,0.08571428571428572
737,0.0
738,0.0425531914893617
739,0.041666666666666664
740,0.19736842105263158
741,0.06711409395973154
742,0.03571428571428571
743,0.037037037037037035
744,0.07692307692307693
745,0.05
746,0.05956112852664577
747,0.058394160583941604
748,0.1111111111111111
749,0.1
750,0.05555555555555555
751,0.5833333333333334
752,0.05384615384615385
753,0.10650069156293222
754,0.0273972602739726
755,0.03067484662576687
756,0.07586206896551724
757,0.046511627906976744
758,0.043478260869565216
759,0.0364963503649635
760,0.0
761,0.0125
762,0.0
763,0.008849557522123894
764,0.13953488372093023
765,0.057971014492753624
766,0.11267605633802817
767,0.09359605911330049
768,0.023952095808383235
769,0.06666666666666667
770,0.05263157894736842
771,0.0
772,0.21818181818181817
773,0.09923664122137404
774,0.0
775,0.16666666666666666
776,0.0
777,0.1164021164021164
778,0.04201680672268908
779,0.043731778425655975
780,0.0
781,0.16666666666666666
782,0.35714285714285715
783,0.029411764705882353
784,0.04878048780487805
785,0.05263157894736842
786,0.11795543905635648
787,0.08744710860366714
788,0.08627450980392157
789,0.025974025974025976
790,0.08936170212765958
791,0.08994708994708994
792,0.022900763358778626
793,0.17857142857142858
794,0.0
795,0.03076923076923077
796,0.09446693657219973
797,0.35714285714285715
798,0.0
799,0.06382978723404255
800,0.057692307692307696
801,0.1282051282051282
802,0.014705882352941176
803,0.02040816326530612
804,0.16243654822335024
805,0.03125
806,0.008771929824561403
807,0.0
808,0.016129032258064516
809,0.03669724770642202
810,0.0
811,0.0
812,0.013927576601671309
813,0.0
814,0.08045977011494253
815,0.1111111111111111
816,0.09601873536299765
817,0.08064516129032258
818,0.02702702702702703
819,0.018292682926829267
820,0.027777777777777776
821,0.0
822,0.05
823,0.0
824,0.0
825,0.0
826,0.02702702702702703
827,0.0
828,0.0449438202247191
829,0.01486988847583643
830,0.0
831,0.0
832,0.06666666666666667
833,0.0
834,0.15
835,0.08415841584158416
836,0.0423728813559322
837,0.037037037037037035
838,0.02702702702702703
839,0.027932960893854747
840,0.038461538461538464
841,0.0
842,0.0
843,0.0
844,0.0
845,0.0
846,0.022727272727272728
847,0.10526315789473684
848,0.0
849,0.08211920529801324
850,0.10638297872340426
851,0.05785123966942149
852,0.208955223880597
853,0.26644736842105265
854,0.1196319018404908
855,0.0821917808219178
856,0.06487695749440715
857,0.011363636363636364
858,0.058577405857740586
859,0.014184397163120567
860,0.07407407407407407
861,0.026385224274406333
862,0.0
863,0.029411764705882353
864,0.02586206896551724
865,0.03636363636363636
866,0.10273972602739725
867,0.06938775510204082
868,0.11078286558345643
869,0.13984674329501914
870,0.036936936936936934
871,0.0627062706270627
872,0.12170639899623588
873,0.0
874,0.05365296803652968
875,0.10932475884244373
876,0.05649717514124294
877,0.05082592121982211
878,0.0027100271002710027
879,0.031078610603290677
880,0.07890222984562607
881,0.07322654462242563
882,0.1258741258741259
883,0.031425364758698095
